########################################################################
#                                                                      #
# WGS84 positions of SKA1 MID dish coordinates taken from              #
# SKA1-MID Physical Configuration Coordinates                          #
# (SKA-TEL-INSA-0000537 Revision 11)                                   #
#                                                                      #
# Columns: Dish name, Longitude, Latitude, HAE, ECEF-X, ECEF-Y, ECEF-Z #
# Units: None, degrees, degrees, meters, meters, meters, meters        #
#                                                                      #
########################################################################
SKA012,21.53695202,-30.49523798,1029.832,5117380.262,2019603.141,-3218322.267
SKA013,21.57663527,-30.56085037,1036.912,5112549.433,2021790.232,-3224592.463
SKA014,21.56819629,-30.6223174,1105.022,5109676.024,2019783.686,-3230494.052
SKA015,21.374214,-30.638584,1059.332,5115592.592,2002123.419,-3232022.783
SKA016,21.32584356,-30.64372728,1050.431,5117003.12,1997695.514,-3232508.915
SKA017,21.4063313,-30.642963,1056.332,5114236.698,2004899.402,-3232439.012
SKA018,21.42589249,-30.65386189,1062.681,5112983.522,2006422.276,-3233481.927
SKA019,21.27685507,-30.65892183,1066.521,5117921.812,1993013.031,-3233966.529
SKA020,21.45176724,-30.65931641,1067.071,5111793.392,2008619.691,-3234004.445
SKA021,22.04672,-30.65899,1138.201,5090734.724,2061620.616,-3234009.582
SKA022,21.57385067,-30.66960267,1136.961,5107016.864,2019315.33,-3235021.173
SKA023,21.46088514,-30.67446849,1076.841,5110683.987,2009122.696,-3235454.562
SKA024,21.46210788,-30.68665739,1082.9,5110004.153,2008981.345,-3236620.012
SKA025,21.23088,-30.68665,1089.33,5118075.684,1988344.813,-3236622.589
SKA026,21.46402731,-30.69234894,1086.33,5109639.829,2009035.747,-3237164.471
SKA027,21.55113077,-30.69497333,1165.07,5106504.524,2016771.621,-3237454.899
SKA028,21.43018,-30.70076,1082.48,5110379.497,2005841.729,-3237964.472
SKA029,21.4344917,-30.701264,1083.83,5110203.058,2006216.294,-3238013.213
SKA030,21.439049,-30.702356,1085.48,5109987.243,2006600.675,-3238118.169
SKA031,21.4215593,-30.702581,1085.609,5110587.771,2005036.131,-3238139.686
SKA032,21.4645868,-30.702805,1090.719,5109072.892,2008870.438,-3238163.651
SKA033,21.4444697,-30.704982,1089.889,5109662.523,2007031.147,-3238370.782
SKA034,21.4135728,-30.706149,1088.549,5110681.49,2004250.912,-3238481.357
SKA035,21.4409894,-30.706517,1089.739,5109703.409,2006688.951,-3238517.049
SKA036,21.4453007,-30.707819,1092.219,5109485.764,2007047.258,-3238642.443
SKA037,21.4622289,-30.708744,1096.089,5108846.904,2008538.835,-3238732.604
SKA038,21.4405906,-30.708913,1091.319,5109592.359,2006604.29,-3238746.28
SKA039,21.4436864,-30.709254,1092.959,5109467.27,2006873.824,-3238779.627
SKA040,21.43507924,-30.70899275,1088.989,5109779.285,2006110.399,-3238752.693
SKA041,21.4416387,-30.710689,1093.099,5109463.467,2006661.554,-3238916.502
SKA042,21.4451202,-30.711168,1095.068,5109317.854,2006962.722,-3238963.172
SKA043,21.4390904,-30.711278,1092.328,5109521.047,2006421.869,-3238972.259
SKA044,21.4437639,-30.711281,1094.388,5109358.86,2006839.221,-3238973.597
SKA045,21.4522796,-30.711729,1096.908,5109038.937,2007590.101,-3239017.593
SKA046,21.4443592,-30.711825,1094.988,5109309.815,2006881.232,-3239025.764
SKA047,21.4405425,-30.711918,1093.528,5109437.42,2006538.492,-3239033.884
SKA048,21.4423558,-30.712025,1094.178,5109368.794,2006698.184,-3239044.417
SKA049,21.4435744,-30.712107,1094.937,5109322.398,2006805.394,-3239052.622
SKA050,21.4444375,-30.712193,1095.318,5109287.939,2006880.699,-3239061.015
SKA051,21.4439168,-30.712207,1095.098,5109305.263,2006833.907,-3239062.237
SKA052,21.4426256,-30.712211,1094.517,5109349.812,2006718.5,-3239062.322
SKA053,21.4433231,-30.712317,1094.857,5109320.067,2006778.611,-3239072.6
SKA054,21.4473345,-30.712406,1096.707,5109176.345,2007135.059,-3239082.03
SKA055,21.4416585,-30.712409,1094.127,5109372.934,2006628.037,-3239080.998
SKA056,21.4436675,-30.712428,1095.177,5109302.409,2006807.125,-3239083.346
SKA057,21.4429691,-30.71245,1094.777,5109325.391,2006744.265,-3239085.239
SKA058,21.4422514,-30.712485,1094.567,5109348.515,2006679.474,-3239088.468
SKA059,21.4442278,-30.712544,1095.446,5109276.885,2006854.772,-3239094.541
SKA060,21.4052401,-30.712547,1093.696,5110639.735,2003377.019,-3239093.934
SKA061,21.445672,-30.712552,1096.256,5109226.525,2006983.645,-3239095.718
SKA062,21.4432796,-30.712597,1095.066,5109306.999,2006769.001,-3239099.4
SKA063,21.4352434,-30.712648,1091.496,5109582.869,2006050.182,-3239102.438
SKA064,21.4426044,-30.712715,1094.836,5109324.243,2006706.275,-3239110.532
SKA065,21.4429391,-30.712722,1095.036,5109312.311,2006736.04,-3239111.301
SKA066,21.4445107,-30.71285,1095.816,5109251.143,2006873.78,-3239123.902
SKA067,21.4451171,-30.712941,1096.185,5109225.401,2006926.087,-3239132.765
SKA068,21.4419132,-30.71295,1094.935,5109336.143,2006639.804,-3239132.985
SKA069,21.4426862,-30.712981,1095.045,5109307.524,2006708.128,-3239135.996
SKA070,21.45839335,-30.71299125,1099.365,5108760.126,2008109.872,-3239139.18
SKA071,21.4441059,-30.712991,1095.944,5109257.991,2006834.804,-3239137.409
SKA072,21.4423381,-30.713089,1095.113,5109314.077,2006674.872,-3239146.327
SKA073,21.4432221,-30.713174,1095.493,5109278.939,2006752.062,-3239154.624
SKA074,21.442917,-30.713281,1095.563,5109284.041,2006722.661,-3239164.86
SKA075,21.4439358,-30.713328,1095.883,5109246.136,2006812.639,-3239169.504
SKA076,21.4442883,-30.713364,1096.093,5109232.06,2006843.393,-3239173.043
SKA077,21.4400382,-30.713405,1094.222,5109377.252,2006462.957,-3239175.996
SKA078,21.4422628,-30.713413,1095.482,5109299.93,2006661.566,-3239177.402
SKA079,21.4435953,-30.713434,1095.872,5109252.466,2006780.077,-3239179.603
SKA080,21.4432548,-30.713481,1095.971,5109261.994,2006748.772,-3239184.134
SKA081,21.4446124,-30.713603,1096.449,5109208.395,2006867.457,-3239196.009
SKA082,21.4440499,-30.713665,1096.319,5109224.724,2006815.973,-3239201.853
SKA083,21.4377571,-30.713717,1093.218,5109439.88,2006252.764,-3239205.226
SKA084,21.4418779,-30.713786,1095.427,5109293.704,2006619.503,-3239212.932
SKA085,21.4424806,-30.713809,1095.836,5109271.711,2006672.9,-3239215.334
SKA086,21.4434036,-30.713858,1096.225,5109237.112,2006754.315,-3239220.204
SKA087,21.4427442,-30.714023,1096.094,5109251.404,2006692.057,-3239235.866
SKA088,21.4436833,-30.714159,1096.584,5109211.736,2006773.137,-3239249.081
SKA089,21.4457952,-30.714161,1097.584,5109138.459,2006961.733,-3239249.783
SKA090,21.4410498,-30.714684,1095.653,5109275.548,2006527.138,-3239298.654
SKA091,21.4435517,-30.714778,1097.083,5109184.114,2006748.743,-3239308.345
SKA092,21.4474835,-30.714879,1098.679,5109042.347,2007097.755,-3239318.788
SKA093,21.4421612,-30.714887,1096.407,5109226.527,2006622.279,-3239318.391
SKA094,21.4442517,-30.715123,1097.496,5109141.741,2006804.15,-3239341.444
SKA095,21.4398972,-30.715681,1095.775,5109263.45,2006403.755,-3239393.759
SKA096,21.4555383,-30.715743,1101.434,5108716.794,2007798.946,-3239402.559
SKA097,21.4439389,-30.716027,1097.873,5109105.343,2006757.657,-3239427.814
SKA098,21.4376419,-30.716174,1094.331,5109315.277,2006191.981,-3239440.018
SKA099,21.4449919,-30.716377,1098.518,5109050.526,2006844.509,-3239461.508
SKA100,21.4490364,-30.717223,1101.125,5108866.339,2007188.449,-3239543.486
SKA101,21.444662,-30.718358,1099.895,5108958.747,2006774.502,-3239651.053
SKA102,21.4363558,-30.718739,1094.945,5109225.568,2006024.391,-3239684.843
SKA103,21.4402166,-30.719265,1097.385,5109064.604,2006358.541,-3239736.231
SKA104,21.4472659,-30.720233,1102.232,5108770.56,2006968.586,-3239830.981
SKA105,21.53229856,-30.72375434,1142.091,5105632.711,2014487.662,-3240187.006
SKA106,21.43284944,-30.72091251,1096.019,5109234.58,2005667.064,-3239892.58
SKA107,21.3974997,-30.722426,1101.078,5110395.266,2002484.749,-3240039.434
SKA108,21.43389914,-30.72517868,1099.558,5108975.704,2005673.466,-3240301.043
SKA109,21.4376456,-30.729515,1103.265,5108618.828,2005918.899,-3240716.262
SKA110,21.51112423,-30.73479045,1133.427,5105788.16,2012368.659,-3241234.491
SKA111,21.4424172,-30.734251,1109.727,5108207.141,2006248.265,-3241170.964
SKA112,21.18376996,-30.72881114,1156.596,5117536.738,1983294.143,-3240676.424
SKA113,21.3917083,-30.736333,1111.045,5109871.941,2001683.904,-3241370.071
SKA114,21.45243193,-30.73975934,1119.671,5107573.799,2007030.053,-3241701.033
SKA115,21.493833,-30.736932,1128.942,5106278.727,2010781.817,-3241436.308
SKA116,21.4602722,-30.742016,1126.282,5107185.362,2007684.231,-3241919.481
SKA117,21.4728481,-30.736715,1120.411,5107019.465,2008913.296,-3241411.266
SKA118,21.39467576,-30.75229296,1118.345,5108931.756,2001620.818,-3242894.796
SKA119,21.3971606,-30.77855145,1141.066,5107476.386,2001306.13,-3245408.331
SKA120,21.88741798,-30.75980972,1196.679,5091196.105,2045349.138,-3243651.124
SKA121,21.41272,-30.80198,1179.839,5105725.662,2002219.708,-3247659.897
SKA122,21.1448195,-30.80984136,1149.485,5114590.994,1978154.387,-3248393.077
SKA123,21.42369086,-30.8415849,1207.491,5103269.608,2002384.079,-3251445.485
SKA124,21.80449227,-30.84449024,1203.634,5089692.243,2036194.57,-3251720.112
SKA125,21.4589582,-30.8652901,1234.067,5100802.718,2005040.095,-3253715.745
SKA126,21.508972,-30.879667,1361.812,5098391.485,2009232.112,-3255149.66
SKA127,21.6973379,-30.883676,1251.959,5091458.773,2025863.508,-3255474.81
SKA128,21.63561248,-30.86917657,1305.799,5094448.249,2020698.507,-3254122.472
SKA129,21.10890461,-30.91061099,1200.977,5110524.105,1972899.697,-3258011.573
SKA130,21.0771837,-31.04189381,1240.31,5104655.593,1967387.579,-3270513.562
SKA131,21.16952104,-31.20125506,1184.331,5092916.172,1972295.827,-3285613.139
SKA132,21.267511,-31.337997,1136.22,5082162.263,1978133.153,-3298549.274
SKA133,21.49901372,-31.5195923,1219.565,5064424.009,1994828.966,-3315776.642
