#######################################################################
#                                                                     #
# Coordinates of SKA1 LOW Field Stations taken from                   #
# 513-000001-CIV-1002 - Rev.0 - Field Stations - Location Details.xlsx#
#                                                                     #
# Ideally, this information should be sourced from Table 10-1 of      #
# SKA1-LOW Configuration Coordinates - Complete Set                   #
# (SKA-TEL-SKO-0000422)                                               #
# Current revision does not have HAE information. Until that is       #
# updated, we'll source this directly from the spreadsheet.           #
#                                                                     #
# Columns:                                                            #
#	Station ID                                                        #
#	Label                                                             #
#	Latitude [deg]                                                    #
#	Longitude [deg]                                                   #
#	HAE [m] - Height Above Ellipsoid in WGS84                         #
#	ECEF-X, ECEF-Y, ECEF-Z [m]                                        #
#   Station rotation angle [deg] - measured east of north             #
#                                                                     #
#######################################################################
1,C1,-26.826161995090644,116.7656960036497,347.0376321554915,-2565115.544092137,5085629.234035365,-2861196.7160952426,0.0
2,C2,-26.82364599911411,116.76362100342178,345.7376321554915,-2564987.493684213,5085833.422534648,-2860947.340549868,0.0
3,C3,-26.825151999133237,116.76515599885309,346.3376321554915,-2565090.075215444,5085697.945314967,-2861096.5295517556,137.5
4,C4,-26.825225999056972,116.76310300493566,345.4376321554915,-2564905.8174616545,5085785.832084149,-2861103.4407149106,222.5
5,C5,-26.824671997364533,116.7644630000283,345.6376321554915,-2565039.0901660267,5085749.842504818,-2861048.749720166,275.0
6,C6,-26.82292300237027,116.76412999765685,345.0376321554915,-2565048.672016277,5085842.355524879,-2860875.531695258,85.0
7,C7,-26.823524004548936,116.7647819980899,345.3376321554915,-2565093.1345022405,5085786.574301118,-2860935.0967427418,52.5
8,C8,-26.82518500332826,116.76453899576946,346.1376321554915,-2565034.4849723643,5085723.934915382,-2861099.7028397545,307.5
9,C9,-26.824119998993613,116.76557399819416,345.8376321554915,-2565150.215655743,5085724.907272946,-2860994.256553921,190.0
10,C10,-26.824215997108194,116.76260299959542,345.2376321554915,-2564884.095950563,5085853.148992119,-2861003.4784298996,170.0
11,C11,-26.82427799982674,116.76307299476848,345.4376321554915,-2564924.4992423607,5085829.500374388,-2861009.699721603,327.5
12,C12,-26.823448999212097,116.7660710006574,345.9376321554915,-2565209.4806086356,5085732.691805293,-2860927.950655463,32.5
13,C13,-26.825672003139946,116.76443400212432,346.2376321554915,-2565014.2393516847,5085706.971879261,-2861147.9036847763,105.0
14,C14,-26.82546400336763,116.76490399803326,346.3376321554915,-2565060.6812350103,5085695.297212776,-2861127.3813170707,255.0
15,C15,-26.82465300165623,116.76389999714904,345.4376321554915,-2564989.463528466,5085775.735710092,-2861046.7811140036,242.6
16,C16,-26.824676995320672,116.76230600116774,345.2376321554915,-2564847.3532195366,5085845.86237781,-2861049.063428562,117.4
17,C17,-26.823809001966815,116.76526300441162,345.5376321554915,-2565129.493318363,5085752.475737699,-2860963.368652929,20.1
18,C18,-26.824061999309478,116.7660330002459,346.0376321554915,-2565192.3442392037,5085707.106154786,-2860988.611589234,339.9
19,C19,-26.825349004249045,116.7640200014881,346.0376321554915,-2564984.684476495,5085739.767379877,-2861115.8745423,157.6
20,C20,-26.824889654536673,116.76482161602338,346.0376321554915,-2565066.181551224,5085724.388968609,-2861070.45281236,202.4
21,C21,-26.8245689989642,116.76612999737178,346.4376321554915,-2565189.697804478,5085680.447379674,-2861038.925927177,295.1
22,C22,-26.825230996432524,116.76640800213248,346.7376321554915,-2565199.5869191224,5085638.684634165,-2861104.5215200027,64.9
23,C23,-26.825841085463416,116.76534184656683,346.7376321554915,-2565091.2147868862,5085659.178249265,-2861164.8485458456,72.6
24,C24,-26.823296000057823,116.76384900079093,345.3376321554915,-2565015.451605377,5085838.522343204,-2860912.5507157547,287.4
25,C25,-26.823251997414896,116.76570900325149,345.6376321554915,-2565181.6640692214,5085757.454592382,-2860908.3349192333,210.1
26,C26,-26.8230610014984,116.76349900163633,345.0376321554915,-2564989.554582734,5085864.443210326,-2860889.177668626,149.9
27,C27,-26.823156004026853,116.76448000182934,345.1376321554915,-2565074.533850691,5085816.363968898,-2860898.6170594958,347.6
28,C28,-26.826381998105543,116.76474299715561,346.6376321554915,-2565025.8389673703,5085661.757707863,-2861218.289852897,12.4
29,C29,-26.825817997907993,116.76391899778093,346.1376321554915,-2564965.198580105,5085723.42934819,-2861162.294832533,125.1
30,C30,-26.82338099760515,116.76520600180125,345.3376321554915,-2565133.990682997,5085773.976156675,-2860920.9556299583,234.9
31,C31,-26.825488996852613,116.76557999651828,346.6376321554915,-2565120.241855622,5085664.1564048715,-2861129.9881146355,262.6
32,C32,-26.82266700245449,116.7651410051717,345.0376321554915,-2565144.1776252026,5085808.521915983,-2860850.2172309095,97.4
33,C33,-26.82626300081821,116.7637740045212,345.8376321554915,-2564942.1874498543,5085709.812631872,-2861206.162174922,40.1
34,C34,-26.82408700209015,116.7664879975271,346.2376321554915,-2565232.248130268,5085685.778415247,-2860991.1742041386,319.9
35,C35,-26.825397004503255,116.76357299970876,346.2376321554915,-2564944.0067542554,5085757.794621827,-2861120.711180179,177.6
36,C36,-26.825801995377,116.76300399899121,345.6376321554915,-2564884.1399767837,5085764.706620875,-2861160.486829145,182.4
37,C37,-26.8246259997339,116.76518799830242,345.9376321554915,-2565104.5993792294,5085719.677723452,-2861044.3367112926,315.1
38,C38,-26.824828001636615,116.76307599698531,345.2376321554915,-2564912.301349185,5085804.651127541,-2861063.9953832445,44.9
39,C39,-26.826415999397035,116.76519900127033,346.8376321554915,-2565065.6291993256,5085639.984344067,-2861221.742212428,92.6
