Number,Name,x,y
220,C220,321.465,-370.135
221,C221,342.06,-302.693
222,C222,286,-394.626
223,C223,358.32,-345.868
224,C224,275.768,-351.879
225,E1-1,-190.931,578.191
226,E1-2,-235.337,603.572
227,E1-3,-194.011,630.844
228,E1-4,-262.755,635.631
229,E1-5,-164.904,664.129
230,E1-6,-230.966,698.75
231,E2-1,-779.621,465.87
232,E2-2,-829.589,504.721
233,E2-3,-700.944,520.417
234,E2-4,-767.799,521.752
235,E2-5,-817.57,556.929
236,E2-6,-736.11,562.272
237,E3-1,-1297.48,-132.914
238,E3-2,-1252.98,-126.681
239,E3-3,-1346.36,-93.7308
240,E3-4,-1261.72,-78.4797
241,E3-5,-1304.83,-73.0247
242,E3-6,-1292.71,-32.5049
243,E4-1,-1407.95,-1220.5
244,E4-2,-1362.25,-1210.15
245,E4-3,-1357.28,-1162.73
246,E4-4,-1311.79,-1153.82
247,E4-5,-1422.95,-1142.36
248,E4-6,-1386.39,-1095.71
249,N1-1,-497.233,-537.635
250,N1-2,-419.902,-548.618
251,N1-3,-377.98,-535.595
252,N1-4,-467.224,-494.618
253,N1-5,-402.12,-500.084
254,N1-6,-489.553,-431.926
255,N2-1,-27.6169,-971.259
256,N2-2,-117.023,-974.153
257,N2-3,-76.4914,-952.891
258,N2-4,-116.426,-930.07
259,N2-5,-28.3123,-913.15
260,N2-6,-80.4657,-899.013
261,N3-1,757.667,-1122.87
262,N3-2,709.785,-1126.33
263,N3-3,663.393,-1100.05
264,N3-4,730.746,-1085.69
265,N3-5,673.625,-1050.74
266,N3-6,734.719,-1027.47
267,N4-1,1688.71,-649.135
268,N4-2,1655.93,-612.845
269,N4-3,1712.35,-600.935
270,N4-4,1635.26,-568.763
271,N4-5,1710.46,-555.85
272,N4-6,1665.86,-520.562
273,S1-1,667.255,-173.858
274,S1-2,629.208,-140.129
275,S1-3,586.393,-132.225
276,S1-4,670.733,-129.554
277,S1-5,641.626,-80.7964
278,S1-6,685.337,-71.3334
279,S2-1,917.342,389.71
280,S2-2,831.967,325.555
281,S2-3,785.507,361.743
282,S2-4,743.49,465.823
283,S2-5,875.385,432.808
284,S2-6,860.609,485.553
285,S3-1,627.034,1107.29
286,S3-2,588.192,1156.94
287,S3-3,526.503,1166.29
